time,DRB.UEThpDl
2024-05-24T07:13:39.208935Z,0.0
2024-05-24T07:13:40.433344Z,0.0
2024-05-24T07:13:41.688773Z,0.0
2024-05-24T07:13:43.196388Z,1048.0
2024-05-24T07:13:45.240730Z,3144.0
2024-05-24T07:13:47.111496Z,4716.0
2024-05-24T07:13:49.026789Z,4192.0
2024-05-24T07:13:51.054551Z,3144.0
2024-05-24T07:13:53.014108Z,1048.0
2024-05-24T07:13:54.975495Z,5240.0
2024-05-24T07:13:56.892100Z,5764.0
2024-05-24T07:13:58.814449Z,5764.0
2024-05-24T07:14:00.756198Z,3668.0
2024-05-24T07:14:02.707723Z,4192.0
2024-05-24T07:14:04.690216Z,5764.0
2024-05-24T07:14:06.627318Z,1572.0
2024-05-24T07:14:08.525016Z,1572.0
2024-05-24T07:14:10.460120Z,6812.0
2024-05-24T07:14:12.445440Z,3144.0
2024-05-24T07:14:14.434671Z,5240.0
2024-05-24T07:14:16.364177Z,4192.0
2024-05-24T07:14:18.285687Z,5240.0
2024-05-24T07:14:20.273969Z,1048.0
2024-05-24T07:14:22.268653Z,0.0
2024-05-24T07:14:24.327381Z,1572.0
2024-05-24T07:14:26.363787Z,1572.0
2024-05-24T07:14:28.355006Z,1048.0
2024-05-24T07:14:30.338779Z,0.0
2024-05-24T07:14:30.362800Z,0.0
2024-05-24T07:14:32.381253Z,2620.0
2024-05-24T07:14:34.316993Z,4192.0
2024-05-24T07:14:36.300716Z,4192.0
2024-05-24T07:14:38.286791Z,3144.0
2024-05-24T07:14:40.193284Z,3668.0
2024-05-24T07:14:42.163843Z,3668.0
2024-05-24T07:14:44.175419Z,2096.0
2024-05-24T07:14:46.144655Z,1572.0
2024-05-24T07:14:48.104862Z,1572.0
2024-05-24T07:14:50.076392Z,2096.0
2024-05-24T07:14:51.986177Z,4192.0
2024-05-24T07:14:53.940898Z,2096.0
2024-05-24T07:14:55.947296Z,3668.0
2024-05-24T07:14:58.022282Z,3144.0
2024-05-24T07:15:00.042279Z,3144.0
2024-05-24T07:15:02.171977Z,7859.0
2024-05-24T07:15:04.354610Z,7336.0
2024-05-24T07:15:06.618780Z,6288.0
2024-05-24T07:15:08.884658Z,6812.0
2024-05-24T07:15:11.130972Z,0.0
2024-05-24T07:15:13.395652Z,4192.0
2024-05-24T07:15:15.600612Z,4192.0
2024-05-24T07:15:17.804508Z,2096.0
2024-05-24T07:15:20.001545Z,2620.0
2024-05-24T07:15:22.200933Z,2096.0
2024-05-24T07:15:24.396475Z,1048.0
2024-05-24T07:15:26.681828Z,2620.0
2024-05-24T07:15:28.997214Z,2096.0
2024-05-24T07:15:31.229340Z,4192.0
2024-05-24T07:15:33.485699Z,2096.0
2024-05-24T07:15:35.713721Z,0.0
2024-05-24T07:15:37.981724Z,1048.0
2024-05-24T07:15:40.048453Z,0.0
2024-05-24T07:15:42.139334Z,0.0
2024-05-24T07:15:44.229194Z,0.0
2024-05-24T07:15:46.234114Z,0.0
2024-05-24T07:15:48.198111Z,0.0
2024-05-24T07:15:50.151640Z,0.0
2024-05-24T07:15:52.175983Z,0.0
2024-05-24T07:15:54.189196Z,524.0
2024-05-24T07:15:56.287885Z,524.0
2024-05-24T07:15:58.454305Z,3144.0
2024-05-24T07:16:00.494492Z,524.0
2024-05-24T07:16:02.547636Z,524.0
2024-05-24T07:16:04.634894Z,1572.0
2024-05-24T07:16:06.855160Z,524.0
2024-05-24T07:16:08.980182Z,0.0
2024-05-24T07:16:11.009231Z,0.0
2024-05-24T07:16:13.043996Z,0.0
2024-05-24T07:16:15.053680Z,0.0
2024-05-24T07:16:15.078780Z,0.0
2024-05-24T07:16:17.363492Z,1572.0
2024-05-24T07:16:19.447041Z,2620.0
2024-05-24T07:16:21.491180Z,2096.0
2024-05-24T07:16:23.533008Z,2620.0
2024-05-24T07:16:25.694467Z,2620.0
2024-05-24T07:16:27.892898Z,1048.0
2024-05-24T07:16:30.057334Z,2096.0
2024-05-24T07:16:32.202117Z,2620.0
2024-05-24T07:16:34.312581Z,2096.0
2024-05-24T07:16:36.414381Z,2096.0
2024-05-24T07:16:38.641072Z,3144.0
2024-05-24T07:16:40.733752Z,2620.0
2024-05-24T07:16:42.724703Z,1572.0
2024-05-24T07:16:44.866216Z,2096.0
2024-05-24T07:16:46.938347Z,2096.0
2024-05-24T07:16:49.016381Z,2620.0
2024-05-24T07:16:51.025675Z,2096.0
2024-05-24T07:16:53.102467Z,2096.0
2024-05-24T07:16:55.310759Z,2096.0
2024-05-24T07:16:57.545883Z,0.0
2024-05-24T07:16:59.738445Z,7859.0
2024-05-24T07:17:01.951243Z,3144.0
2024-05-24T07:17:04.084887Z,7859.0
2024-05-24T07:17:06.075358Z,8384.0
2024-05-24T07:17:08.157366Z,4716.0
2024-05-24T07:17:10.238421Z,3144.0
2024-05-24T07:17:12.239063Z,4192.0
2024-05-24T07:17:14.247981Z,2620.0
2024-05-24T07:17:16.219424Z,3144.0
2024-05-24T07:17:18.529251Z,2620.0
2024-05-24T07:17:20.670883Z,2096.0
2024-05-24T07:17:22.791195Z,524.0
2024-05-24T07:17:24.934061Z,2620.0
2024-05-24T07:17:27.108040Z,7336.0
2024-05-24T07:17:29.261325Z,3144.0
2024-05-24T07:17:31.345797Z,6288.0
2024-05-24T07:17:33.399089Z,5764.0
2024-05-24T07:17:35.451064Z,5764.0
2024-05-24T07:17:37.503541Z,5240.0
2024-05-24T07:17:39.512694Z,6812.0
2024-05-24T07:17:41.732810Z,5240.0
2024-05-24T07:17:43.905481Z,7859.0
2024-05-24T07:17:46.029871Z,8384.0
2024-05-24T07:17:48.469040Z,8908.0
2024-05-24T07:17:50.623678Z,7859.0
2024-05-24T07:17:52.965005Z,7336.0
2024-05-24T07:17:55.203516Z,5240.0
2024-05-24T07:17:57.441379Z,4716.0
2024-05-24T07:17:59.543160Z,6288.0
2024-05-24T07:18:01.535776Z,8384.0
2024-05-24T07:18:03.645629Z,9956.0
2024-05-24T07:18:05.797684Z,8908.0
