time,Serving_gNB_UE_Throughput,Source_gNB,Target_gNB,Target_gNB_UE_Throughput,ue-id
2024-05-24T07:36:35.865201Z,29344.0,6,2,17292.0,8
2024-05-24T07:36:35.902374Z,17292.0,2,6,0.0,8
2024-05-24T07:36:40.397230Z,0.0,2,3,15291.0,5
2024-05-24T07:36:42.769851Z,19388.0,3,2,18864.0,1
2024-05-24T07:37:01.012344Z,20960.0,4,2,11004.0,7
2024-05-24T07:37:01.028047Z,11004.0,2,4,0.0,7
2024-05-24T07:37:04.777229Z,0.0,4,2,524.0,7
2024-05-24T07:37:16.081901Z,0.0,6,2,2096.0,4
2024-05-24T07:37:16.090134Z,26200.0,6,2,37728.0,8
2024-05-24T07:37:30.574135Z,75456.0,2,6,41396.0,8
2024-05-24T07:37:38.444001Z,1048.0,6,4,524.0,8
2024-05-24T07:37:43.974435Z,3668.0,4,6,0.0,8
2024-05-24T07:37:56.861197Z,0.0,6,7,0.0,2
2024-05-24T07:38:09.225623Z,524.0,7,5,25676.0,2
2024-05-24T07:38:09.229488Z,0.0,2,6,20436.0,4
2024-05-24T07:38:09.237470Z,25676.0,5,7,0.0,2
2024-05-24T07:38:11.777002Z,0.0,7,6,19388.0,2
2024-05-24T07:38:17.454466Z,1572.0,2,5,4716.0,10
2024-05-24T07:39:28.727927Z,3668.0,3,2,1048.0,5
2024-05-24T07:39:28.742477Z,1048.0,2,3,0.0,5
2024-05-24T07:39:31.182086Z,0.0,3,2,8908.0,5
2024-05-24T07:39:34.188028Z,0.0,5,2,1572.0,10
2024-05-24T07:39:40.639039Z,0.0,2,5,0.0,10
2024-05-24T07:39:45.686839Z,0.0,6,5,45064.0,4
2024-05-24T07:39:51.910661Z,524.0,2,7,0.0,3
2024-05-24T07:39:58.645190Z,0.0,7,2,0.0,3
2024-05-24T07:40:11.695298Z,3668.0,2,3,25152.0,5
2024-05-24T07:40:11.700247Z,524.0,2,4,0.0,7
2024-05-24T07:40:14.128558Z,0.0,4,2,12576.0,7
2024-05-24T07:40:18.975481Z,26200.0,2,4,0.0,7
2024-05-24T07:40:23.764928Z,0.0,4,2,0.0,7
2024-05-24T07:40:23.787461Z,0.0,5,6,18864.0,4
2024-05-24T07:40:26.013805Z,18864.0,6,5,18864.0,4
2024-05-24T07:40:30.790445Z,18864.0,6,2,19388.0,8
2024-05-24T07:40:30.813216Z,19388.0,2,6,0.0,8
2024-05-24T07:40:33.205931Z,0.0,6,2,26200.0,8
2024-05-24T07:40:36.555608Z,18864.0,5,6,19912.0,4
2024-05-24T07:40:36.562071Z,26200.0,2,6,20960.0,8
2024-05-24T07:40:39.295431Z,1048.0,2,4,524.0,7
2024-05-24T07:41:01.190017Z,524.0,4,2,0.0,7
2024-05-24T07:41:01.201340Z,0.0,2,4,0.0,7
2024-05-24T07:41:04.234383Z,0.0,4,2,18864.0,7
2024-05-24T07:41:15.173320Z,2620.0,2,7,2096.0,3
2024-05-24T07:41:33.840459Z,14672.0,6,7,23056.0,2
2024-05-24T07:41:43.880919Z,26200.0,3,7,0.0,5
2024-05-24T07:41:59.100919Z,0.0,7,6,0.0,2
2024-05-24T07:41:59.116727Z,0.0,6,7,0.0,2
2024-05-24T07:42:02.929370Z,0.0,7,6,1572.0,2
2024-05-24T07:42:21.887213Z,2620.0,7,2,524.0,3
2024-05-24T07:42:24.338989Z,11528.0,6,7,26724.0,2
2024-05-24T07:43:34.206473Z,524.0,2,7,0.0,3
2024-05-24T07:44:34.390317Z,1048.0,7,6,524.0,2
2024-05-24T07:44:37.641010Z,0.0,5,2,0.0,10
2024-05-24T07:44:41.179760Z,0.0,6,7,0.0,2
2024-05-24T07:44:53.581205Z,0.0,6,2,0.0,8
2024-05-24T07:45:26.003247Z,0.0,6,2,2096.0,4
2024-05-24T07:45:33.326200Z,8384.0,2,6,2620.0,4
2024-05-24T07:45:42.769035Z,524.0,7,2,0.0,3
2024-05-24T07:46:14.183278Z,18340.0,2,7,0.0,3
2024-05-24T07:46:16.952127Z,0.0,7,2,68024.0,3
2024-05-24T07:46:23.611116Z,1572.0,6,2,0.0,4
2024-05-24T07:46:23.649748Z,0.0,2,6,0.0,4
2024-05-24T07:46:26.543115Z,0.0,6,2,4716.0,4
2024-05-24T07:46:35.960169Z,7336.0,2,6,2620.0,4
2024-05-24T07:46:41.487687Z,0.0,7,6,6288.0,2
2024-05-24T07:47:27.110020Z,0.0,6,2,0.0,6
