time,DRB.UEThpDl
2024-05-24 07:13:39.208935+00:00,0.0
2024-05-24 07:13:40.433344+00:00,0.0
2024-05-24 07:13:41.688773+00:00,0.0
2024-05-24 07:13:43.196388+00:00,1048.0
2024-05-24 07:13:45.240730+00:00,3144.0
2024-05-24 07:13:47.111496+00:00,4716.0
2024-05-24 07:13:49.026789+00:00,4192.0
2024-05-24 07:13:51.054551+00:00,3144.0
2024-05-24 07:13:53.014108+00:00,1048.0
2024-05-24 07:13:54.975495+00:00,5240.0
2024-05-24 07:13:56.892100+00:00,5764.0
2024-05-24 07:13:58.814449+00:00,5764.0
2024-05-24 07:14:00.756198+00:00,3668.0
2024-05-24 07:14:02.707723+00:00,4192.0
2024-05-24 07:14:04.690216+00:00,5764.0
2024-05-24 07:14:06.627318+00:00,1572.0
2024-05-24 07:14:08.525016+00:00,1572.0
2024-05-24 07:14:10.460120+00:00,6812.0
2024-05-24 07:14:12.445440+00:00,3144.0
2024-05-24 07:14:14.434671+00:00,5240.0
2024-05-24 07:14:16.364177+00:00,4192.0
2024-05-24 07:14:18.285687+00:00,5240.0
2024-05-24 07:14:20.273969+00:00,1048.0
2024-05-24 07:14:22.268653+00:00,0.0
2024-05-24 07:14:24.327381+00:00,1572.0
2024-05-24 07:14:26.363787+00:00,1572.0
2024-05-24 07:14:28.355006+00:00,1048.0
2024-05-24 07:14:30.338779+00:00,0.0
2024-05-24 07:14:30.362800+00:00,0.0
2024-05-24 07:14:32.381253+00:00,2620.0
2024-05-24 07:14:34.316993+00:00,4192.0
2024-05-24 07:14:36.300716+00:00,4192.0
2024-05-24 07:14:38.286791+00:00,3144.0
2024-05-24 07:14:40.193284+00:00,3668.0
2024-05-24 07:14:42.163843+00:00,3668.0
2024-05-24 07:14:44.175419+00:00,2096.0
2024-05-24 07:14:46.144655+00:00,1572.0
2024-05-24 07:14:48.104862+00:00,1572.0
2024-05-24 07:14:50.076392+00:00,2096.0
2024-05-24 07:14:51.986177+00:00,4192.0
2024-05-24 07:14:53.940898+00:00,2096.0
2024-05-24 07:14:55.947296+00:00,3668.0
2024-05-24 07:14:58.022282+00:00,3144.0
2024-05-24 07:15:00.042279+00:00,3144.0
2024-05-24 07:15:02.171977+00:00,7859.0
2024-05-24 07:15:04.354610+00:00,7336.0
2024-05-24 07:15:06.618780+00:00,6288.0
2024-05-24 07:15:08.884658+00:00,6812.0
2024-05-24 07:15:11.130972+00:00,0.0
2024-05-24 07:15:13.395652+00:00,4192.0
2024-05-24 07:15:15.600612+00:00,4192.0
2024-05-24 07:15:17.804508+00:00,2096.0
2024-05-24 07:15:20.001545+00:00,2620.0
2024-05-24 07:15:22.200933+00:00,2096.0
2024-05-24 07:15:24.396475+00:00,1048.0
2024-05-24 07:15:26.681828+00:00,2620.0
2024-05-24 07:15:28.997214+00:00,2096.0
2024-05-24 07:15:31.229340+00:00,4192.0
2024-05-24 07:15:33.485699+00:00,2096.0
2024-05-24 07:15:35.713721+00:00,0.0
2024-05-24 07:15:37.981724+00:00,1048.0
2024-05-24 07:15:40.048453+00:00,0.0
2024-05-24 07:15:42.139334+00:00,0.0
2024-05-24 07:15:44.229194+00:00,0.0
2024-05-24 07:15:46.234114+00:00,0.0
2024-05-24 07:15:48.198111+00:00,0.0
2024-05-24 07:15:50.151640+00:00,0.0
2024-05-24 07:15:52.175983+00:00,0.0
2024-05-24 07:15:54.189196+00:00,524.0
2024-05-24 07:15:56.287885+00:00,524.0
2024-05-24 07:15:58.454305+00:00,3144.0
2024-05-24 07:16:00.494492+00:00,524.0
2024-05-24 07:16:02.547636+00:00,524.0
2024-05-24 07:16:04.634894+00:00,1572.0
2024-05-24 07:16:06.855160+00:00,524.0
2024-05-24 07:16:08.980182+00:00,0.0
2024-05-24 07:16:11.009231+00:00,0.0
2024-05-24 07:16:13.043996+00:00,0.0
2024-05-24 07:16:15.053680+00:00,0.0
2024-05-24 07:16:15.078780+00:00,0.0
